# Execution with input file: fd12.mtx, NPROCS: 32, SELECTED MODE: 1D CYCLIC PARTITIONING
# Execution_time, avgNNZ, maxNNZ, minNNZ, GFLOPS, Comm_time
0.009537,889,898,885,5.968914,17.837286
0.009060,889,898,885,6.283067,18.197536
0.009537,889,898,885,5.968914,16.988277
0.009537,889,898,885,5.968914,16.610861
0.010014,889,898,885,5.684680,20.093679
0.009060,889,898,885,6.283067,16.528368
0.009298,889,898,885,6.121963,15.514851
0.009060,889,898,885,6.283067,15.578747
0.009060,889,898,885,6.283067,17.504454
0.009775,889,898,885,5.823331,15.937090
0.021219,889,898,885,2.682658,21.455526
0.009775,889,898,885,5.823331,17.508030
0.009060,889,898,885,6.283067,14.733076
0.009060,889,898,885,6.283067,25.783539
0.009060,889,898,885,6.283067,16.096115
0.010252,889,898,885,5.552478,18.115282
0.009298,889,898,885,6.121963,15.314341
0.009298,889,898,885,6.121963,17.333031
0.009060,889,898,885,6.283067,15.114069
0.009298,889,898,885,6.121963,27.113438
0.009060,889,898,885,6.283067,17.241955
0.009060,889,898,885,6.283067,15.648842
0.010014,889,898,885,5.684680,18.381596
0.009537,889,898,885,5.968914,28.218985
0.009060,889,898,885,6.283067,16.396046
0.009298,889,898,885,6.121963,18.001318
0.009298,889,898,885,6.121963,15.646935
0.009060,889,898,885,6.283067,15.971661
0.009537,889,898,885,5.968914,17.911196
0.009298,889,898,885,6.121963,18.436670
0.009775,889,898,885,5.823331,18.340588
0.009060,889,898,885,6.283067,16.728401
0.008821,889,898,885,6.452880,26.083231
0.009775,889,898,885,5.823331,18.385887
0.009060,889,898,885,6.283067,15.066862
0.010252,889,898,885,5.552478,19.640207
0.009060,889,898,885,6.283067,25.414944
0.008821,889,898,885,6.452880,15.252113
0.010252,889,898,885,5.552478,18.116713
0.009060,889,898,885,6.283067,16.679049
0.020981,889,898,885,2.713143,18.226147
0.009775,889,898,885,5.823331,16.005039
0.009298,889,898,885,6.121963,15.870810
0.009775,889,898,885,5.823331,28.195143
0.013828,889,898,885,4.116492,16.082048
0.010014,889,898,885,5.684680,16.541004
0.010014,889,898,885,5.684680,15.676498
0.009060,889,898,885,6.283067,18.387794
0.009060,889,898,885,6.283067,16.379833
0.009060,889,898,885,6.283067,15.964985
0.009060,889,898,885,6.283067,17.634630
0.010014,889,898,885,5.684680,17.316103
0.009298,889,898,885,6.121963,17.887354
0.009060,889,898,885,6.283067,16.271830
0.009060,889,898,885,6.283067,27.470112
0.009060,889,898,885,6.283067,15.644789
0.009060,889,898,885,6.283067,107.130051
0.010729,889,898,885,5.305701,19.952536
0.009060,889,898,885,6.283067,15.793324
0.009775,889,898,885,5.823331,16.469717
0.009060,889,898,885,6.283067,16.188860
0.009537,889,898,885,5.968914,20.887136
0.009060,889,898,885,6.283067,106.403589
0.009537,889,898,885,5.968914,20.208597
0.010014,889,898,885,5.684680,15.440941
0.010252,889,898,885,5.552478,18.837929
0.009298,889,898,885,6.121963,18.999100
0.009298,889,898,885,6.121963,18.359900
0.008821,889,898,885,6.452880,18.183470
0.010014,889,898,885,5.684680,18.670082
0.009060,889,898,885,6.283067,15.944958
0.009298,889,898,885,6.121963,27.325153
0.009298,889,898,885,6.121963,39.995432
0.010014,889,898,885,5.684680,16.000032
0.009060,889,898,885,6.283067,15.395164
0.009060,889,898,885,6.283067,19.799709
0.009537,889,898,885,5.968914,17.852783
0.009775,889,898,885,5.823331,15.887260
0.009060,889,898,885,6.283067,16.031265
0.010014,889,898,885,5.684680,16.851425
0.009298,889,898,885,6.121963,17.842293
0.009060,889,898,885,6.283067,16.417742
0.010014,889,898,885,5.684680,16.507864
0.010014,889,898,885,5.684680,18.680811
0.009060,889,898,885,6.283067,27.660608
0.009060,889,898,885,6.283067,25.063515
0.010014,889,898,885,5.684680,18.464565
0.009298,889,898,885,6.121963,16.038179
0.009060,889,898,885,6.283067,16.507864
0.009060,889,898,885,6.283067,16.236782
0.009298,889,898,885,6.121963,15.158415
0.009060,889,898,885,6.283067,26.373863
0.009060,889,898,885,6.283067,25.931597
0.009775,889,898,885,5.823331,16.988754
0.009537,889,898,885,5.968914,17.896652
0.009775,889,898,885,5.823331,18.689632
0.009775,889,898,885,5.823331,46.711922
0.009060,889,898,885,6.283067,25.227547
0.009060,889,898,885,6.283067,18.302679
0.009775,889,898,885,5.823331,26.306152
# End of Execution
