# Execution with input file: fd12.mtx, NPROCS: 64, SELECTED MODE: 1D CYCLIC PARTITIONING
# Execution_time, avgNNZ, maxNNZ, minNNZ, GFLOPS, Comm_time
0.009298,444,452,441,6.121963,17.419338
0.009775,444,452,441,5.823331,17.227173
0.009775,444,452,441,5.823331,17.901659
0.009060,444,452,441,6.283067,17.997503
0.009775,444,452,441,5.823331,21.382570
0.009537,444,452,441,5.968914,18.114805
0.009775,444,452,441,5.823331,26.793242
0.010729,444,452,441,5.305701,17.202854
0.010252,444,452,441,5.552478,16.853571
0.009060,444,452,441,6.283067,17.450809
0.009060,444,452,441,6.283067,18.964529
0.008821,444,452,441,6.452880,16.756296
0.009298,444,452,441,6.121963,17.483473
0.009298,444,452,441,6.121963,20.537376
0.010014,444,452,441,5.684680,21.090508
0.009537,444,452,441,5.968914,17.509937
0.010490,444,452,441,5.426285,17.507315
0.009537,444,452,441,5.968914,20.144701
0.010014,444,452,441,5.684680,18.320084
0.009060,444,452,441,6.283067,19.537926
0.009298,444,452,441,6.121963,19.805193
0.009298,444,452,441,6.121963,17.317295
0.025511,444,452,441,2.231370,21.871805
0.010490,444,452,441,5.426285,17.501593
0.009775,444,452,441,5.823331,17.188549
0.009537,444,452,441,5.968914,22.072315
0.009537,444,452,441,5.968914,21.671772
0.024557,444,452,441,2.318025,22.289515
0.010252,444,452,441,5.552478,22.128820
0.009298,444,452,441,6.121963,20.069599
0.009060,444,452,441,6.283067,17.135143
0.009775,444,452,441,5.823331,27.101517
0.008583,444,452,441,6.632127,17.930269
0.009298,444,452,441,6.121963,18.100739
0.009537,444,452,441,5.968914,16.829252
0.009537,444,452,441,5.968914,17.786980
0.009537,444,452,441,5.968914,21.590233
0.008821,444,452,441,6.452880,17.672539
0.009060,444,452,441,6.283067,17.364740
0.009298,444,452,441,6.121963,19.126654
0.008583,444,452,441,6.632127,17.802000
0.009775,444,452,441,5.823331,16.914845
0.009298,444,452,441,6.121963,17.735720
0.010490,444,452,441,5.426285,17.243624
0.010252,444,452,441,5.552478,21.991730
0.009537,444,452,441,5.968914,17.682791
0.009775,444,452,441,5.823331,20.287514
0.009775,444,452,441,5.823331,18.404961
0.009775,444,452,441,5.823331,16.916513
0.009060,444,452,441,6.283067,17.840862
0.009537,444,452,441,5.968914,17.640114
0.008821,444,452,441,6.452880,23.420811
0.009298,444,452,441,6.121963,17.604589
0.010014,444,452,441,5.684680,17.195225
0.010490,444,452,441,5.426285,23.281097
0.009537,444,452,441,5.968914,17.657280
0.009298,444,452,441,6.121963,18.778563
0.009060,444,452,441,6.283067,19.059181
0.009298,444,452,441,6.121963,17.213821
0.009060,444,452,441,6.283067,17.855883
0.009775,444,452,441,5.823331,21.945477
0.010729,444,452,441,5.305701,19.038916
0.008821,444,452,441,6.452880,18.527985
0.009537,444,452,441,5.968914,20.556927
0.009060,444,452,441,6.283067,17.716885
0.010490,444,452,441,5.426285,16.825914
0.009060,444,452,441,6.283067,17.979860
0.009060,444,452,441,6.283067,18.014669
0.009298,444,452,441,6.121963,17.536640
0.009060,444,452,441,6.283067,19.162893
0.009537,444,452,441,5.968914,18.048763
0.009060,444,452,441,6.283067,17.768621
0.009298,444,452,441,6.121963,18.323660
0.009537,444,452,441,5.968914,21.973848
0.009060,444,452,441,6.283067,26.308537
0.009060,444,452,441,6.283067,19.860029
0.009060,444,452,441,6.283067,17.937660
0.009537,444,452,441,5.968914,20.443201
0.009775,444,452,441,5.823331,30.626297
0.009298,444,452,441,6.121963,21.476984
0.009298,444,452,441,6.121963,17.485142
0.008821,444,452,441,6.452880,18.391371
0.009298,444,452,441,6.121963,17.935514
0.009775,444,452,441,5.823331,17.408133
0.009298,444,452,441,6.121963,20.785570
0.009060,444,452,441,6.283067,17.413616
0.018597,444,452,441,3.060982,17.667770
0.010252,444,452,441,5.552478,17.074823
0.009775,444,452,441,5.823331,21.751881
0.009060,444,452,441,6.283067,17.870426
0.009775,444,452,441,5.823331,19.279718
0.010252,444,452,441,5.552478,21.883011
0.009060,444,452,441,6.283067,17.860651
0.009298,444,452,441,6.121963,20.537138
0.009060,444,452,441,6.283067,17.477036
0.009775,444,452,441,5.823331,18.378973
0.009060,444,452,441,6.283067,17.725945
0.009060,444,452,441,6.283067,19.776821
0.009537,444,452,441,5.968914,22.052765
0.009537,444,452,441,5.968914,22.349596
# End of Execution
