matrix,scheduling,memory,threads,p90_runtime_ms
fd12,guided,128GB,4,0.304361
fd12,guided,128GB,8,0.296214
fd12,guided,128GB,16,0.432847
fd12,guided,128GB,32,0.81581
fd12,guided,128GB,64,10.56405
fd12,guided,32GB,1,0.157442
fd12,guided,32GB,2,0.244686
fd12,guided,32GB,4,0.295169
fd12,guided,32GB,8,0.293529
fd12,guided,32GB,16,0.429075
fd12,guided,32GB,32,0.779871
fd12,guided,32GB,64,1.595318
fd12,guided,64GB,1,0.189839
fd12,guided,64GB,2,0.30952
fd12,guided,64GB,4,0.264145
fd12,guided,64GB,8,0.295303
fd12,guided,64GB,16,0.428068
fd12,guided,64GB,32,0.805489
fd12,guided,64GB,64,10.5915
fd12,static,128GB,1,0.175149
fd12,static,128GB,2,0.376754
fd12,static,128GB,4,0.310307
fd12,static,128GB,8,0.321457
fd12,static,128GB,16,0.455347
fd12,static,128GB,32,0.749699
fd12,static,128GB,64,10.73977
fd12,static,32GB,1,0.155594
fd12,static,32GB,2,0.381482
fd12,static,32GB,4,0.35743
fd12,static,32GB,8,0.313534
fd12,static,32GB,16,0.4548
fd12,static,32GB,32,0.715324
fd12,static,32GB,64,1.496382
fd12,static,64GB,1,0.152647
fd12,static,64GB,2,0.260358
fd12,static,64GB,4,0.353529
fd12,static,64GB,8,0.304044
fd12,static,64GB,16,0.591454
fd12,static,64GB,32,0.787742
fd12,static,64GB,64,1.489638
human_gene2,dynamic,128GB,1,216.1864
human_gene2,dynamic,128GB,2,54.70913
human_gene2,dynamic,128GB,4,123.8592
human_gene2,dynamic,128GB,8,15.9288
human_gene2,dynamic,128GB,16,48.79163
human_gene2,dynamic,128GB,32,49.0692
human_gene2,dynamic,128GB,64,64.65959
human_gene2,dynamic,32GB,1,117.505
human_gene2,dynamic,32GB,2,139.4941
human_gene2,dynamic,32GB,4,137.6239
human_gene2,dynamic,32GB,8,131.0073
human_gene2,dynamic,32GB,16,168.1012
human_gene2,dynamic,32GB,32,296.2833
human_gene2,dynamic,32GB,64,306.8622
human_gene2,dynamic,64GB,1,102.5019
human_gene2,dynamic,64GB,2,109.7161
human_gene2,dynamic,64GB,4,110.988
human_gene2,dynamic,64GB,8,88.7551
human_gene2,dynamic,64GB,16,72.58135
human_gene2,dynamic,64GB,32,78.98747
human_gene2,dynamic,64GB,64,58.48677
human_gene2,guided,128GB,1,128.5213
human_gene2,guided,128GB,2,73.1396
human_gene2,guided,128GB,4,115.6906
human_gene2,guided,128GB,8,18.04497
human_gene2,guided,128GB,16,14.40676
human_gene2,guided,128GB,32,18.07284
human_gene2,guided,128GB,64,36.30594
human_gene2,guided,32GB,1,124.0474
human_gene2,guided,32GB,2,118.3454
human_gene2,guided,32GB,4,111.9502
human_gene2,guided,32GB,8,73.03798
human_gene2,guided,32GB,16,75.55866
human_gene2,guided,32GB,32,71.72858
human_gene2,guided,32GB,64,63.71607
human_gene2,guided,64GB,1,196.8733
human_gene2,guided,64GB,2,110.5137
human_gene2,guided,64GB,4,90.03897
human_gene2,guided,64GB,8,85.02152
human_gene2,guided,64GB,16,62.34817
human_gene2,guided,64GB,32,43.78716
human_gene2,guided,64GB,64,50.86581
human_gene2,static,128GB,1,215.6254
human_gene2,static,128GB,2,43.28579
human_gene2,static,128GB,4,30.62604
human_gene2,static,128GB,8,17.91001
human_gene2,static,128GB,16,15.9457
human_gene2,static,128GB,32,13.52843
human_gene2,static,128GB,64,80.17541
human_gene2,static,32GB,1,79.75865
human_gene2,static,32GB,2,46.80606
human_gene2,static,32GB,4,34.00704
human_gene2,static,32GB,8,18.43689
human_gene2,static,32GB,16,13.00347
human_gene2,static,32GB,32,18.26155
human_gene2,static,32GB,64,73.11291
human_gene2,static,64GB,1,213.806
human_gene2,static,64GB,2,154.0167
human_gene2,static,64GB,4,27.67424
human_gene2,static,64GB,8,19.26903
human_gene2,static,64GB,16,14.33003
human_gene2,static,64GB,32,16.21937
human_gene2,static,64GB,64,38.15421
sinc12,dynamic,128GB,1,1.554331
sinc12,dynamic,128GB,2,1.865464
sinc12,dynamic,128GB,4,1.53726
sinc12,dynamic,128GB,8,1.564505
sinc12,dynamic,128GB,16,1.366216
sinc12,dynamic,128GB,32,1.437763
sinc12,dynamic,128GB,64,11.05165
sinc12,dynamic,32GB,1,1.410093
sinc12,dynamic,32GB,2,1.854425
sinc12,dynamic,32GB,4,2.29904
sinc12,dynamic,32GB,8,1.589244
sinc12,dynamic,32GB,16,1.357842
sinc12,dynamic,32GB,32,1.416345
sinc12,dynamic,32GB,64,11.04502
sinc12,dynamic,64GB,1,1.407159
sinc12,dynamic,64GB,2,1.865417
sinc12,dynamic,64GB,4,1.584226
sinc12,dynamic,64GB,8,1.332264
sinc12,dynamic,64GB,16,1.400861
sinc12,dynamic,64GB,32,1.429934
sinc12,dynamic,64GB,64,11.10196
sinc12,guided,128GB,1,1.320381
sinc12,guided,128GB,2,1.292442
sinc12,guided,128GB,4,1.226863
sinc12,guided,128GB,8,0.849052
sinc12,guided,128GB,16,0.917722
sinc12,guided,128GB,32,0.916075
sinc12,guided,128GB,64,10.7125
sinc12,guided,32GB,1,1.321073
sinc12,guided,32GB,2,1.370406
sinc12,guided,32GB,4,1.171476
sinc12,guided,32GB,8,0.823718
sinc12,guided,32GB,16,0.921094
sinc12,guided,32GB,32,0.943715
sinc12,guided,32GB,64,1.66319
sinc12,guided,64GB,1,1.468037
sinc12,guided,64GB,2,1.411042
sinc12,guided,64GB,4,1.123382
sinc12,guided,64GB,8,0.848023
sinc12,guided,64GB,16,0.916262
sinc12,guided,64GB,32,0.933869
sinc12,guided,64GB,64,10.61147
sinc12,static,128GB,1,1.463869
sinc12,static,128GB,2,1.529906
sinc12,static,128GB,4,1.334146
sinc12,static,128GB,8,0.944589
sinc12,static,128GB,16,0.754533
sinc12,static,128GB,32,0.989436
sinc12,static,128GB,64,1.421362
sinc12,static,32GB,1,1.395092
sinc12,static,32GB,2,1.463268
sinc12,static,32GB,4,1.335014
sinc12,static,32GB,8,0.891856
sinc12,static,32GB,16,0.797507
sinc12,static,32GB,32,0.948152
sinc12,static,32GB,64,1.497268
sinc12,static,64GB,1,1.351686
sinc12,static,64GB,2,1.432273
sinc12,static,64GB,4,1.373276
sinc12,static,64GB,8,0.894927
sinc12,static,64GB,16,0.744049
sinc12,static,64GB,32,0.980522
sinc12,static,64GB,64,1.489174
