matrix,scheduling,memory,threads,cache_misses_percent,l1_misses_percent,llc_misses_percent
epb1,static,128GB,4,22.52,5.398,31.198
epb1,static,128GB,8,17.189,5.398,21.158
epb1,static,128GB,16,17.875,5.397,20.239
epb1,static,128GB,32,14.615,5.392,15.831
epb1,static,128GB,64,14.537,5.369,15.893
epb1,static,32GB,1,3.952,5.398,12.763
epb1,static,32GB,2,9.829,5.397,6.708
epb1,static,32GB,4,24.282,5.398,33.526
epb1,static,32GB,8,18.398,5.398,23.887
epb1,static,32GB,16,16.876,5.397,19.821
epb1,static,32GB,32,15.844,5.392,18.834
epb1,static,32GB,64,18.502,5.391,20.863
epb1,static,64GB,1,0.738,5.397,1.832
epb1,static,64GB,2,13.599,5.398,23.951
epb1,static,64GB,4,22.773,5.398,29.555
epb1,static,64GB,8,26.043,5.398,36.975
epb1,static,64GB,16,21.407,5.398,26.474
epb1,static,64GB,32,18.655,5.397,23.128
epb1,static,64GB,64,16.3,5.39,15.901
fd12,dynamic,128GB,1,10.877,4.314,14.772
fd12,dynamic,128GB,2,43.907,4.33,10.549
fd12,dynamic,128GB,4,53.082,4.345,14.839
fd12,dynamic,128GB,8,42.599,4.344,24.07
fd12,dynamic,128GB,16,29.26,4.351,15.593
fd12,dynamic,128GB,32,21.402,4.339,11.423
fd12,dynamic,128GB,64,18.752,3.628,10.708
fd12,dynamic,32GB,1,8.445,4.32,14.424
fd12,dynamic,32GB,2,50.756,4.318,36.893
fd12,dynamic,32GB,4,62.793,4.333,42.361
fd12,dynamic,32GB,8,42.882,4.342,25.357
fd12,dynamic,32GB,16,28.644,4.351,15.082
fd12,dynamic,32GB,32,21.517,4.341,11.189
fd12,dynamic,32GB,64,18.387,3.493,9.927
fd12,dynamic,64GB,1,7.955,4.32,13.826
fd12,dynamic,64GB,2,44.862,4.318,26.903
fd12,dynamic,64GB,4,63.28,4.332,44.279
fd12,dynamic,64GB,8,42.623,4.342,24.34
fd12,dynamic,64GB,16,28.008,4.353,12.91
fd12,dynamic,64GB,32,20.794,4.345,10.357
fd12,dynamic,64GB,64,17.369,4.261,8.936
fd12,guided,128GB,1,1.347,4.311,1.764
fd12,guided,128GB,2,6.706,4.311,5.1
fd12,guided,128GB,4,17.485,4.311,20.013
fd12,guided,128GB,8,16.09,4.313,18.048
fd12,guided,128GB,16,15.838,4.312,16.987
fd12,guided,128GB,32,20.471,4.318,22.411
fd12,guided,128GB,64,18.818,4.303,17.622
fd12,guided,32GB,1,3.563,4.326,5.883
fd12,guided,32GB,2,31.87,4.325,46.162
fd12,guided,32GB,4,58.665,4.313,71.211
fd12,guided,32GB,8,17.008,4.322,18.26
fd12,guided,32GB,16,15.941,4.318,16.649
fd12,guided,32GB,32,15.024,4.315,15.578
fd12,guided,32GB,64,16.179,4.22,15.146
fd12,guided,64GB,1,2.15,4.31,3.299
fd12,guided,64GB,2,7.296,4.311,5.795
fd12,guided,64GB,4,16.315,4.312,17.637
fd12,guided,64GB,8,22.834,4.317,26.936
fd12,guided,64GB,16,19.69,4.32,21.081
fd12,guided,64GB,32,17.734,4.319,18.195
fd12,guided,64GB,64,17.722,4.303,16.227
fd12,static,128GB,1,1.182,4.31,1.473
fd12,static,128GB,2,12.419,4.312,6.729
fd12,static,128GB,4,27.327,4.312,29.08
fd12,static,128GB,8,19.65,4.313,19.064
fd12,static,128GB,16,18.669,4.31,19.149
fd12,static,128GB,32,16.957,4.296,17.113
fd12,static,128GB,64,14.171,4.2,14.604
fd12,static,32GB,1,3.697,4.31,6.386
fd12,static,32GB,2,19.532,4.312,19.301
fd12,static,32GB,4,26.053,4.312,25.896
fd12,static,32GB,8,24.656,4.313,26.088
fd12,static,32GB,16,14.998,4.313,12.646
fd12,static,32GB,32,16.364,4.297,16.095
fd12,static,32GB,64,13.384,4.204,13.118
fd12,static,64GB,1,0.707,4.311,1.047
fd12,static,64GB,2,37.242,4.313,43.265
fd12,static,64GB,4,32.903,4.313,38.648
fd12,static,64GB,8,28.893,4.312,34.317
fd12,static,64GB,16,19.728,4.31,22.131
fd12,static,64GB,32,16.793,4.293,16.797
fd12,static,64GB,64,17.465,3.602,18.775
human_gene2,dynamic,128GB,1,40.036,5.883,51.654
human_gene2,dynamic,128GB,2,39.287,5.883,51.958
human_gene2,dynamic,128GB,4,39.858,5.89,51.242
human_gene2,dynamic,128GB,8,43.405,5.893,48.99
human_gene2,dynamic,128GB,16,43.14,5.893,50.962
human_gene2,dynamic,128GB,32,39.688,5.883,45.592
human_gene2,dynamic,128GB,64,43.674,5.891,49.095
human_gene2,dynamic,32GB,1,43.845,5.892,48.93
human_gene2,dynamic,32GB,2,43.793,5.892,47.587
human_gene2,dynamic,32GB,4,44.117,5.889,48.277
human_gene2,dynamic,32GB,8,43.214,5.892,49.919
human_gene2,dynamic,32GB,16,44.091,5.89,48.911
human_gene2,dynamic,32GB,32,44.134,5.888,47.97
human_gene2,dynamic,32GB,64,43.262,5.892,49.21
human_gene2,dynamic,64GB,1,43.452,5.892,49.33
human_gene2,dynamic,64GB,2,43.13,5.893,49.844
human_gene2,dynamic,64GB,4,43.402,5.892,49.518
human_gene2,dynamic,64GB,8,42.676,5.893,50.368
human_gene2,dynamic,64GB,16,28.375,5.883,43.294
human_gene2,dynamic,64GB,32,28.369,5.883,39.51
human_gene2,dynamic,64GB,64,28.578,5.882,38.762
human_gene2,guided,128GB,1,39.255,5.883,51.538
human_gene2,guided,128GB,2,43.067,5.893,50.423
human_gene2,guided,128GB,4,42.668,5.893,52.161
human_gene2,guided,128GB,8,39.075,5.883,50.638
human_gene2,guided,128GB,16,28.115,5.889,46.173
human_gene2,guided,128GB,32,28.874,5.882,39.087
human_gene2,guided,128GB,64,28.54,5.882,39.765
human_gene2,guided,32GB,1,53.948,5.89,55.245
human_gene2,guided,32GB,2,40.266,5.893,49.866
human_gene2,guided,32GB,4,27.479,5.893,46.132
human_gene2,guided,32GB,8,39.944,5.886,51.894
human_gene2,guided,32GB,16,39.586,5.883,50.999
human_gene2,guided,32GB,32,39.243,5.883,51.343
human_gene2,guided,32GB,64,39.786,5.881,46.472
human_gene2,guided,64GB,1,39.755,5.886,51.659
human_gene2,guided,64GB,2,39.939,5.883,50.581
human_gene2,guided,64GB,4,39.77,5.883,51.931
human_gene2,guided,64GB,8,39.47,5.883,50.29
human_gene2,guided,64GB,16,39.143,5.883,50.938
human_gene2,guided,64GB,32,42.877,5.892,50.397
human_gene2,guided,64GB,64,42.674,5.891,51.993
human_gene2,static,128GB,1,27.654,5.89,45.843
human_gene2,static,128GB,2,39.493,5.883,51.288
human_gene2,static,128GB,4,39.66,5.883,52.588
human_gene2,static,128GB,8,39.501,5.883,51.194
human_gene2,static,128GB,16,28.173,5.883,40.581
human_gene2,static,128GB,32,27.845,5.886,45.498
human_gene2,static,128GB,64,39.983,5.881,51.846
human_gene2,static,32GB,1,27.678,5.883,45.336
human_gene2,static,32GB,2,45.173,5.883,47.739
human_gene2,static,32GB,4,28.022,5.883,42.931
human_gene2,static,32GB,8,28.525,5.883,38.82
human_gene2,static,32GB,16,28.335,5.883,40.105
human_gene2,static,32GB,32,27.126,5.892,44.484
human_gene2,static,32GB,64,27.918,5.887,44.745
human_gene2,static,64GB,1,42.894,5.893,50.476
human_gene2,static,64GB,2,43.053,5.893,50.796
human_gene2,static,64GB,4,39.615,5.883,46.011
human_gene2,static,64GB,8,39.677,5.883,51.526
human_gene2,static,64GB,16,28.285,5.886,45.156
human_gene2,static,64GB,32,28.071,5.882,43.034
human_gene2,static,64GB,64,28.29,5.882,38.45
sinc12,dynamic,128GB,1,0.396,4.704,4.599
sinc12,dynamic,128GB,2,1.314,4.708,13.293
sinc12,dynamic,128GB,4,2.167,4.709,20.325
sinc12,dynamic,128GB,8,1.777,4.71,16.892
sinc12,dynamic,128GB,16,0.937,4.709,12.593
sinc12,dynamic,128GB,32,1.029,4.705,15.115
sinc12,dynamic,128GB,64,1.118,4.593,14.966
sinc12,dynamic,32GB,1,0.416,4.704,3.625
sinc12,dynamic,32GB,2,1.791,4.719,13.314
sinc12,dynamic,32GB,4,2.507,4.71,22.955
sinc12,dynamic,32GB,8,1.92,4.71,16.682
sinc12,dynamic,32GB,16,1.584,4.709,16.956
sinc12,dynamic,32GB,32,1.241,4.705,16.358
sinc12,dynamic,32GB,64,1.003,4.597,14.753
sinc12,dynamic,64GB,1,0.448,4.704,5.502
sinc12,dynamic,64GB,2,1.655,4.708,16.721
sinc12,dynamic,64GB,4,2.567,4.71,23.82
sinc12,dynamic,64GB,8,1.728,4.71,17.227
sinc12,dynamic,64GB,16,1.176,4.709,15.59
sinc12,dynamic,64GB,32,1.028,4.705,16.055
sinc12,dynamic,64GB,64,1.078,4.589,15.18
sinc12,guided,128GB,1,0.206,4.706,0.619
sinc12,guided,128GB,2,0.301,4.706,1.118
sinc12,guided,128GB,4,0.451,4.706,4.128
sinc12,guided,128GB,8,0.457,4.706,4.246
sinc12,guided,128GB,16,0.475,4.704,2.921
sinc12,guided,128GB,32,0.743,4.706,6.211
sinc12,guided,128GB,64,0.787,4.701,6.007
sinc12,guided,32GB,1,0.145,4.706,0.468
sinc12,guided,32GB,2,0.292,4.706,1.04
sinc12,guided,32GB,4,0.774,4.707,7.766
sinc12,guided,32GB,8,0.79,4.707,8.565
sinc12,guided,32GB,16,0.649,4.705,4.617
sinc12,guided,32GB,32,0.628,4.705,4.918
