# Execution with input file: human_gene2.mtx, NPROCS: 8, SELECTED MODE: 1D CYCLIC PARTITIONING
# Execution_time[ms], avgNNZ, maxNNZ, minNNZ, GFLOPS, Comm_time[ms], Peak_memory_footprint[MB]
3.959894,2258548,2399015,2146784,9.125692,8095.546484,767.88
3.915787,2258548,2399015,2146784,9.228484,5288.471699,755.79
3.525257,2258548,2399015,2146784,10.250820,5282.707453,756.90
3.697872,2258548,2399015,2146784,9.772316,5348.051071,757.02
3.640413,2258548,2399015,2146784,9.926559,5277.598381,756.15
3.913641,2258548,2399015,2146784,9.233544,5238.104343,758.46
3.713131,2258548,2399015,2146784,9.732158,5291.626692,758.93
3.960371,2258548,2399015,2146784,9.124594,5180.014610,756.70
3.880262,2258548,2399015,2146784,9.312972,5337.749004,759.26
3.562450,2258548,2399015,2146784,10.143798,5448.964357,759.72
3.824472,2258548,2399015,2146784,9.448826,5297.116280,757.19
3.743172,2258548,2399015,2146784,9.654052,5162.048101,764.12
3.589392,2258548,2399015,2146784,10.067660,5168.934584,759.24
3.719330,2258548,2399015,2146784,9.715937,5281.439543,757.20
3.748178,2258548,2399015,2146784,9.641157,5149.730444,767.40
3.522396,2258548,2399015,2146784,10.259146,5374.075413,756.98
3.709793,2258548,2399015,2146784,9.740914,5248.670340,764.16
3.873825,2258548,2399015,2146784,9.328448,5328.658104,764.55
3.713369,2258548,2399015,2146784,9.731533,5308.663845,758.73
3.780127,2258548,2399015,2146784,9.559674,5179.903746,754.10
3.711700,2258548,2399015,2146784,9.735909,5292.132378,757.98
3.763676,2258548,2399015,2146784,9.601459,5410.252571,760.25
3.608704,2258548,2399015,2146784,10.013783,5191.015244,763.68
3.774405,2258548,2399015,2146784,9.574166,5213.382721,769.38
3.792286,2258548,2399015,2146784,9.529022,5222.121954,763.01
3.834486,2258548,2399015,2146784,9.424151,5363.486290,765.87
3.858805,2258548,2399015,2146784,9.364759,5200.334072,758.04
3.709078,2258548,2399015,2146784,9.742793,5261.895895,759.13
3.688335,2258548,2399015,2146784,9.797584,5327.419758,758.27
3.712177,2258548,2399015,2146784,9.734658,5154.699326,763.14
3.716230,2258548,2399015,2146784,9.724041,5156.663656,788.58
3.695965,2258548,2399015,2146784,9.777359,5178.477764,789.48
3.627300,2258548,2399015,2146784,9.962444,5291.435957,769.60
3.565788,2258548,2399015,2146784,10.134302,5157.744646,761.30
3.809690,2258548,2399015,2146784,9.485489,5289.924622,768.45
3.619909,2258548,2399015,2146784,9.982785,5359.092474,757.50
3.696442,2258548,2399015,2146784,9.776098,5293.113947,757.43
3.729343,2258548,2399015,2146784,9.689849,5193.809509,755.93
3.651619,2258548,2399015,2146784,9.896097,5176.121950,787.74
3.730297,2258548,2399015,2146784,9.687372,5199.965715,761.30
3.680944,2258548,2399015,2146784,9.817257,5354.410648,760.09
3.793955,2258548,2399015,2146784,9.524830,5235.240936,760.98
3.727198,2258548,2399015,2146784,9.695428,5232.713699,768.59
3.502846,2258548,2399015,2146784,10.316405,5179.985523,757.82
3.763914,2258548,2399015,2146784,9.600850,5320.056200,767.59
3.404140,2258548,2399015,2146784,10.615536,5230.810642,768.13
3.586054,2258548,2399015,2146784,10.077031,5380.062103,758.49
3.762245,2258548,2399015,2146784,9.605109,5182.060957,762.32
3.711462,2258548,2399015,2146784,9.736534,5306.055546,763.51
3.779411,2258548,2399015,2146784,9.561483,5415.284395,762.93
3.780127,2258548,2399015,2146784,9.559674,5182.351828,757.41
3.752232,2258548,2399015,2146784,9.630742,5301.045895,763.77
3.617764,2258548,2399015,2146784,9.988706,5174.149752,763.95
3.719091,2258548,2399015,2146784,9.716560,5189.538002,756.91
3.723383,2258548,2399015,2146784,9.705361,5161.629438,756.09
3.630877,2258548,2399015,2146784,9.952631,5263.237000,761.76
3.792286,2258548,2399015,2146784,9.529022,5261.147738,763.04
3.699064,2258548,2399015,2146784,9.769167,5216.313362,757.36
3.776073,2258548,2399015,2146784,9.569935,5205.237150,758.83
3.683329,2258548,2399015,2146784,9.810902,5191.386938,761.77
3.836155,2258548,2399015,2146784,9.420051,5176.072598,760.38
3.736496,2258548,2399015,2146784,9.671301,5352.296829,758.91
3.667116,2258548,2399015,2146784,9.854276,5323.555708,754.90
3.707647,2258548,2399015,2146784,9.746552,5183.697462,760.60
3.664255,2258548,2399015,2146784,9.861970,5218.041897,788.82
3.805161,2258548,2399015,2146784,9.496781,5259.099483,758.91
3.723383,2258548,2399015,2146784,9.705361,5244.056225,758.29
4.004240,2258548,2399015,2146784,9.024628,5178.646326,768.68
3.662109,2258548,2399015,2146784,9.867749,5579.525709,767.29
8.849144,2258548,2399015,2146784,4.083647,5317.320108,760.65
8.964062,2258548,2399015,2146784,4.031295,5307.739496,768.04
3.979445,2258548,2399015,2146784,9.080859,5298.010826,763.26
10.379076,2258548,2399015,2146784,3.481695,5368.403435,756.68
3.835440,2258548,2399015,2146784,9.421808,5400.980234,757.29
9.262323,2258548,2399015,2146784,3.901481,5318.854094,760.50
4.141092,2258548,2399015,2146784,8.726387,5374.675989,761.45
3.949165,2258548,2399015,2146784,9.150484,5456.141233,788.43
4.029989,2258548,2399015,2146784,8.966966,5464.209080,754.34
3.724575,2258548,2399015,2146784,9.702255,5409.364462,788.29
3.887892,2258548,2399015,2146784,9.294697,5418.152571,767.44
3.955364,2258548,2399015,2146784,9.136144,5461.069345,755.72
4.017115,2258548,2399015,2146784,8.995704,5353.710175,760.94
3.806353,2258548,2399015,2146784,9.493807,5340.255260,789.45
4.142761,2258548,2399015,2146784,8.722872,5434.645176,758.68
3.817558,2258548,2399015,2146784,9.465940,5523.590565,762.58
3.809214,2258548,2399015,2146784,9.486676,5291.084290,767.02
4.136086,2258548,2399015,2146784,8.736951,5268.659353,760.14
3.923655,2258548,2399015,2146784,9.209979,5689.447880,754.71
4.165649,2258548,2399015,2146784,8.674944,5611.333370,764.02
9.951830,2258548,2399015,2146784,3.631169,5503.108740,761.97
3.749132,2258548,2399015,2146784,9.638704,5361.903429,756.82
3.859758,2258548,2399015,2146784,9.362445,5150.507689,768.11
3.843784,2258548,2399015,2146784,9.401354,5212.740421,769.37
3.761768,2258548,2399015,2146784,9.606327,5276.301622,761.70
3.783226,2258548,2399015,2146784,9.551842,5197.636127,759.57
3.791809,2258548,2399015,2146784,9.530220,5189.393044,759.60
3.620863,2258548,2399015,2146784,9.980156,5290.562391,768.60
3.709078,2258548,2399015,2146784,9.742793,5255.737305,756.59
3.646135,2258548,2399015,2146784,9.910980,5230.530500,769.70
3.797770,2258548,2399015,2146784,9.515263,5150.714874,767.68
# End of Execution
