# Execution with input file: c-46.mtx, NPROCS: 32, SELECTED MODE: 1D BLOCK PARTITIONING
# Execution_time, avgNNZ, maxNNZ, minNNZ, GFLOPS, Comm_time
0.049114,4206,41630,962,5.309948,42.773485
0.048876,4206,41630,962,5.335850,42.274475
0.048876,4206,41630,962,5.335850,42.465925
0.048637,4206,41630,962,5.362006,42.598724
0.049114,4206,41630,962,5.309948,42.606354
0.048399,4206,41630,962,5.388420,42.471886
0.048637,4206,41630,962,5.362006,42.608500
0.048399,4206,41630,962,5.388420,42.376757
0.048637,4206,41630,962,5.362006,42.501450
0.048876,4206,41630,962,5.335850,42.475462
0.048637,4206,41630,962,5.362006,42.593479
0.048637,4206,41630,962,5.362006,42.893648
0.048637,4206,41630,962,5.362006,42.566299
0.048637,4206,41630,962,5.362006,42.167425
0.049114,4206,41630,962,5.309948,43.242931
0.048637,4206,41630,962,5.362006,42.387724
0.048399,4206,41630,962,5.388420,43.256044
0.048637,4206,41630,962,5.362006,43.405533
0.048876,4206,41630,962,5.335850,43.066978
0.056982,4206,41630,962,4.576775,42.473316
0.048399,4206,41630,962,5.388420,43.272018
0.048637,4206,41630,962,5.362006,43.111563
0.049114,4206,41630,962,5.309948,43.005466
0.048876,4206,41630,962,5.335850,42.627573
0.049353,4206,41630,962,5.284296,42.575598
0.049114,4206,41630,962,5.309948,43.286085
0.048637,4206,41630,962,5.362006,42.296410
0.049114,4206,41630,962,5.309948,42.324066
0.049114,4206,41630,962,5.309948,42.363167
0.048637,4206,41630,962,5.362006,42.349577
0.049353,4206,41630,962,5.284296,42.427063
0.048876,4206,41630,962,5.335850,43.083906
0.048637,4206,41630,962,5.362006,42.490959
0.048399,4206,41630,962,5.388420,42.354345
0.048876,4206,41630,962,5.335850,42.587519
0.048876,4206,41630,962,5.335850,42.331219
0.048637,4206,41630,962,5.362006,42.542934
0.048637,4206,41630,962,5.362006,42.561769
0.048876,4206,41630,962,5.335850,42.295694
0.048876,4206,41630,962,5.335850,42.529345
0.048876,4206,41630,962,5.335850,42.316675
0.048399,4206,41630,962,5.388420,42.366743
0.048637,4206,41630,962,5.362006,42.550564
0.048876,4206,41630,962,5.335850,43.184757
0.049114,4206,41630,962,5.309948,43.010235
0.048637,4206,41630,962,5.362006,42.152405
0.048876,4206,41630,962,5.335850,42.764187
0.048637,4206,41630,962,5.362006,42.659283
0.048876,4206,41630,962,5.335850,42.622089
0.048399,4206,41630,962,5.388420,42.589664
0.049114,4206,41630,962,5.309948,42.319775
0.048876,4206,41630,962,5.335850,42.305946
0.048876,4206,41630,962,5.335850,42.528152
0.048876,4206,41630,962,5.335850,42.590857
0.048637,4206,41630,962,5.362006,42.556286
0.048637,4206,41630,962,5.362006,42.643785
0.048876,4206,41630,962,5.335850,42.661190
0.048637,4206,41630,962,5.362006,42.709351
0.049114,4206,41630,962,5.309948,42.676210
0.048399,4206,41630,962,5.388420,42.659044
0.049114,4206,41630,962,5.309948,42.720795
0.048876,4206,41630,962,5.335850,42.120934
0.049114,4206,41630,962,5.309948,42.365789
0.048876,4206,41630,962,5.335850,42.191505
0.048637,4206,41630,962,5.362006,42.639017
0.048876,4206,41630,962,5.335850,42.744160
0.049114,4206,41630,962,5.309948,42.488337
0.048399,4206,41630,962,5.388420,42.898417
0.048876,4206,41630,962,5.335850,43.163538
0.048637,4206,41630,962,5.362006,42.594433
0.048637,4206,41630,962,5.362006,42.507172
0.048637,4206,41630,962,5.362006,43.258429
0.048876,4206,41630,962,5.335850,42.371273
0.049353,4206,41630,962,5.284296,42.608023
0.048876,4206,41630,962,5.335850,42.651176
0.048637,4206,41630,962,5.362006,42.229176
0.048876,4206,41630,962,5.335850,43.128252
0.048876,4206,41630,962,5.335850,43.125629
0.048637,4206,41630,962,5.362006,44.453382
0.048876,4206,41630,962,5.335850,55.047512
0.048637,4206,41630,962,5.362006,42.731524
0.048637,4206,41630,962,5.362006,42.485714
0.048876,4206,41630,962,5.335850,45.377731
0.048637,4206,41630,962,5.362006,45.394897
0.048399,4206,41630,962,5.388420,42.594194
0.049114,4206,41630,962,5.309948,42.701006
0.049114,4206,41630,962,5.309948,42.477369
0.048637,4206,41630,962,5.362006,42.710304
0.048876,4206,41630,962,5.335850,42.350769
0.048876,4206,41630,962,5.335850,42.200327
0.048399,4206,41630,962,5.388420,42.409420
0.053883,4206,41630,962,4.840041,42.864561
0.048399,4206,41630,962,5.388420,42.589903
0.049114,4206,41630,962,5.309948,42.600870
0.048637,4206,41630,962,5.362006,42.519093
0.055075,4206,41630,962,4.735278,42.434692
0.048637,4206,41630,962,5.362006,42.308331
0.048637,4206,41630,962,5.362006,42.432547
0.048876,4206,41630,962,5.335850,42.528868
0.048637,4206,41630,962,5.362006,43.036461
# End of Execution
