# Execution with input file: fd12.mtx, NPROCS: 4, SELECTED MODE: 1D BLOCK PARTITIONING
# Execution_time, avgNNZ, maxNNZ, minNNZ, GFLOPS, Comm_time
0.008106,9487,10674,7187,7.022252,33.352613
0.007868,9487,10674,7187,7.235047,12.667179
0.007868,9487,10674,7187,7.235047,13.150692
0.007629,9487,10674,7187,7.461143,12.938738
0.007868,9487,10674,7187,7.235047,23.465633
0.007868,9487,10674,7187,7.235047,12.569427
0.007868,9487,10674,7187,7.235047,12.651920
0.008106,9487,10674,7187,7.022252,12.912035
0.012398,9487,10674,7187,4.591472,12.701988
0.007868,9487,10674,7187,7.235047,13.363600
0.007868,9487,10674,7187,7.235047,22.766829
0.008106,9487,10674,7187,7.022252,32.169342
0.007868,9487,10674,7187,7.235047,13.262510
0.007629,9487,10674,7187,7.461143,22.686243
0.007629,9487,10674,7187,7.461143,12.436152
0.007868,9487,10674,7187,7.235047,12.818813
0.007868,9487,10674,7187,7.235047,12.747765
0.007868,9487,10674,7187,7.235047,12.506008
0.007629,9487,10674,7187,7.461143,12.536764
0.007868,9487,10674,7187,7.235047,22.574902
0.008345,9487,10674,7187,6.821616,12.488842
0.007868,9487,10674,7187,7.235047,13.503790
0.007868,9487,10674,7187,7.235047,12.930393
0.007868,9487,10674,7187,7.235047,13.291121
0.008106,9487,10674,7187,7.022252,23.482323
0.007868,9487,10674,7187,7.235047,13.437033
0.008106,9487,10674,7187,7.022252,12.547016
0.008106,9487,10674,7187,7.022252,13.233185
0.008106,9487,10674,7187,7.022252,22.594213
0.007629,9487,10674,7187,7.461143,12.497187
0.007868,9487,10674,7187,7.235047,13.001442
0.007868,9487,10674,7187,7.235047,12.546778
0.007868,9487,10674,7187,7.235047,12.513399
0.007868,9487,10674,7187,7.235047,12.733936
0.007868,9487,10674,7187,7.235047,12.975454
0.008106,9487,10674,7187,7.022252,13.221264
0.007629,9487,10674,7187,7.461143,13.457775
0.007868,9487,10674,7187,7.235047,13.536215
0.007868,9487,10674,7187,7.235047,12.729645
0.008106,9487,10674,7187,7.022252,12.538910
0.007629,9487,10674,7187,7.461143,12.492657
0.008106,9487,10674,7187,7.022252,12.912035
0.007868,9487,10674,7187,7.235047,52.741528
0.007868,9487,10674,7187,7.235047,12.676001
0.007868,9487,10674,7187,7.235047,20.292044
0.007868,9487,10674,7187,7.235047,12.691498
0.008345,9487,10674,7187,6.821616,12.934208
0.008106,9487,10674,7187,7.022252,12.576818
0.007629,9487,10674,7187,7.461143,12.786388
0.007868,9487,10674,7187,7.235047,13.715029
0.008583,9487,10674,7187,6.632127,12.553453
0.007868,9487,10674,7187,7.235047,12.627363
0.007629,9487,10674,7187,7.461143,12.534142
0.007868,9487,10674,7187,7.235047,12.550831
0.008106,9487,10674,7187,7.022252,22.584200
0.007868,9487,10674,7187,7.235047,33.804178
0.008345,9487,10674,7187,6.821616,21.852016
0.007868,9487,10674,7187,7.235047,12.680531
0.007868,9487,10674,7187,7.235047,12.868166
0.008106,9487,10674,7187,7.022252,13.272285
0.008106,9487,10674,7187,7.022252,13.375521
0.007868,9487,10674,7187,7.235047,22.431850
0.007868,9487,10674,7187,7.235047,12.640953
0.008106,9487,10674,7187,7.022252,23.551941
0.007868,9487,10674,7187,7.235047,35.578966
0.007868,9487,10674,7187,7.235047,12.620687
0.007868,9487,10674,7187,7.235047,12.539864
0.007868,9487,10674,7187,7.235047,12.830734
0.008345,9487,10674,7187,6.821616,12.888193
0.008106,9487,10674,7187,7.022252,22.785902
0.008106,9487,10674,7187,7.022252,12.519598
0.008583,9487,10674,7187,6.632127,12.590647
0.007868,9487,10674,7187,7.235047,12.446642
0.007629,9487,10674,7187,7.461143,12.854576
0.008106,9487,10674,7187,7.022252,12.632847
0.008106,9487,10674,7187,7.022252,12.620687
0.007868,9487,10674,7187,7.235047,13.318300
0.007868,9487,10674,7187,7.235047,13.085365
0.007868,9487,10674,7187,7.235047,12.675524
0.007868,9487,10674,7187,7.235047,16.696215
0.008106,9487,10674,7187,7.022252,12.752771
0.008345,9487,10674,7187,6.821616,12.439966
0.008345,9487,10674,7187,6.821616,13.160944
0.011921,9487,10674,7187,4.775131,63.188314
0.008106,9487,10674,7187,7.022252,13.391733
0.007868,9487,10674,7187,7.235047,63.195467
0.007868,9487,10674,7187,7.235047,22.802114
0.007629,9487,10674,7187,7.461143,12.720585
0.007868,9487,10674,7187,7.235047,12.454033
0.008106,9487,10674,7187,7.022252,12.563705
0.007629,9487,10674,7187,7.461143,24.962187
0.008106,9487,10674,7187,7.022252,282.954693
0.007868,9487,10674,7187,7.235047,12.989044
0.007868,9487,10674,7187,7.235047,12.694836
0.007868,9487,10674,7187,7.235047,12.949944
0.007868,9487,10674,7187,7.235047,33.494711
0.008106,9487,10674,7187,7.022252,13.265610
0.007868,9487,10674,7187,7.235047,13.175011
0.007868,9487,10674,7187,7.235047,13.149977
0.007868,9487,10674,7187,7.235047,13.361454
# End of Execution
